,index,HR,DEJ2000,RAJ2000,Vmag,pmRA,pmDE,Parallax,RadVel,Format_Parallax,TA_origin,TimeAngle,appDE,appRA,az,decr,rar,topoDE,topoRA,zd
5359,5479,5480,8.1617,14.69411111,4.86,-0.009000000000000001,0.003,0.011000000000000001,-22,0.011000000000000001,1.820681938095392,1.820681938095392,8.08578121324035,14.709281101702778,224.08662995218916,8.0964578248767,14.70974054242825,8.085785571163557,14.7092851703415,40.26556279802971
5360,5480,5481,11.6606,14.69541667,5.56,-0.157,-0.114,0.023,-23,0.023,1.8196540155299097,1.8196540155299097,11.584882969991442,14.710308980402573,227.15200263818647,11.594240661800011,14.710754635293172,11.584889175546385,14.710313092906983,37.34155575668452
5362,5482,5483,21.1236,14.69838889,6.38,-0.01,-0.053,0.0,-11,0.001,1.8174694900121278,1.8174694900121278,21.048420663773623,14.712493300455844,237.91299005388936,21.05464592092688,14.712922504927809,21.048431725468536,14.712497618424765,29.966536598738134
5366,5486,5487,-5.6583,14.71766667,3.88,0.109,-0.316,0.045,5,0.045,1.7960417946142382,1.7960417946142382,-5.73449500593044,14.73392125206429,214.37909679942882,-5.717179984313743,14.734481491855323,-5.734498009770478,14.733925313822654,52.2041729040798
5369,5489,5490,26.5278,14.72372222,4.81,-0.013000000000000001,-0.017,0.002,6,0.002,1.792640299995302,1.792640299995302,26.453326516297192,14.73732229253773,245.88726584323842,26.457933587040902,14.737748351280214,26.45334005350745,14.73732680844159,26.04586205938405
5371,5491,5492,61.2619,14.70088889,6.25,0.07,-0.03,0.017,-6,0.017,1.8210561865834194,1.8210561865834194,61.1885440723433,14.708902563921972,330.6349775402111,61.18386692161972,14.709708754114143,61.18857105890338,14.708910921853473,26.51689367372913
5372,5492,5493,40.4592,14.729000000000001,5.73,-0.013999999999999999,0.023,0.0,13,0.001,1.7888939289117225,1.7888939289117225,40.38548191465199,14.741067868997204,278.67930150004344,40.38632814107067,14.741546097435672,40.38550155096006,14.74107317952517,20.1358713774867
5375,5495,5496,-1.4178,14.75325,6.07,-0.053,-0.004,0.0,-47,0.001,1.7607910632684973,1.7607910632684973,-1.493155722473427,14.769171983871269,216.19733281077885,-1.4782865341198501,14.769675695790214,-1.4931564685171295,14.769176045168395,48.16713587211352
5380,5500,5501,0.7172,14.75838889,5.69,-0.038,-0.006999999999999999,0.0,-20,0.001,1.7558212523402172,1.7558212523402172,0.6420394180481365,14.774141793354724,217.43499244120633,0.6558358838607864,14.7746263413084,0.6420397819739865,14.774145856096675,46.234364174675335
5381,5501,5502,16.9644,14.75402778,4.6,-0.057999999999999996,-0.049,0.045,-9,0.045,1.7614955480062378,1.7614955480062378,16.88997098175108,14.76846731797284,231.4908306606428,16.897438021232716,14.768885309717934,16.88997967747903,14.768471560430655,32.578796520193805
5384,5504,5505,27.075,14.74977778,5.12,-0.05,0.021,0.016,-23,0.016,1.7666528230835699,1.7666528230835699,27.001001043968518,14.763309732326853,246.36875942126917,27.005425049900552,14.763729927555751,27.001014652362084,14.763314285353323,25.431709931405685
5385,5505,5506,27.0742,14.74977778,2.7,-0.049,0.021,0.016,-17,0.016,1.7666527455276988,1.7666527455276988,27.000201004706227,14.763309809915071,246.36729930385184,27.004625236753984,14.763730003864094,27.000214612727166,14.763314362909194,25.432206453223657
5386,5506,5507,18.8847,14.75575,6.13,0.032,0.013999999999999999,0.0,-4,0.001,1.7599382690064296,1.7599382690064296,18.81039763982768,14.770024550078189,233.77382872140467,18.81724899746107,14.770440010206835,18.810407279032965,14.770028839430463,31.083067742979885
5389,5509,5510,32.7883,14.75380556,6.28,0.045,-0.07200000000000001,0.0,30,0.001,1.7632089219262514,1.7632089219262514,32.71464621191085,14.76675336281263,258.16830350029244,32.717492745333175,14.767186806861863,32.71466237582652,14.766758186510641,22.264382032603784
5390,5510,5511,1.8928,14.77080556,3.72,-0.114,-0.026000000000000002,0.037000000000000005,-6,0.037000000000000005,1.7434976974027627,1.7434976974027627,1.8179181917655478,14.786465340129974,217.9721617919189,1.8311388635333221,14.786937482052158,1.8179191594812374,14.78646941103413,45.10840488855155
5391,5511,5512,15.1319,14.76833333,5.63,-0.084,0.02,0.0,-22,0.001,1.7470402492005697,1.7470402492005697,15.05763008279157,14.782922647670533,229.1514865785619,15.06568438338638,14.783339881436655,15.057637801649516,14.782926859236323,33.90359728585956
5401,5521,5522,-0.8478,14.81502778,6.14,-0.008,0.017,0.0,-16,0.001,1.6990542884867477,1.6990542884867477,-0.9220159116338605,14.830908727906458,215.42125679533015,-0.9075504534661906,14.831387414931175,-0.9220163447833549,14.830912819950145,47.24370758182436
5403,5523,5524,24.3667,14.80647222,6.14,-0.11,0.045,0.01,-31,0.01,1.7097328344462994,1.7097328344462994,24.293555365775354,14.820229791003616,240.55507498930228,24.298695800984156,14.820632294243449,24.293567325926826,14.820234273990593,26.62256716872924
5408,5528,5529,37.8111,14.81852778,6.16,-0.253,0.111,0.021,-35,0.021,1.6991204139747182,1.6991204139747182,37.73879569729681,14.830841520831447,270.4285007622715,37.740247102246514,14.831279347282758,37.73881337072301,14.830846694462174,19.66987517774354
5411,5531,5532,28.6158,14.83288889,5.8,0.017,0.003,0.0,1,0.001,1.6837460875714143,1.6837460875714143,28.54332279091854,14.84621635464424,247.69804204059363,28.54723044121858,14.846618083261426,28.54333647710622,14.846221020865478,23.619782394673493
5412,5532,5533,46.1161,14.82186111,5.74,-0.002,-0.076,0.0,-5,0.001,1.6969502876815312,1.6969502876815312,46.04421005040439,14.833010924734067,295.5707369088768,46.043497329117564,14.83350735633477,46.04423080555844,14.833016820755361,19.093620878478827
5413,5533,5534,23.9119,14.83772222,5.85,0.14300000000000002,0.034,0.069,-2,0.069,1.6784562041216144,1.6784562041216144,23.839284911968747,14.851506420011512,239.16222602195006,23.844525416522313,14.851900670855452,23.839296458964363,14.851510904315278,26.628150314043843
5414,5534,5535,-2.2992,14.85027778,4.94,0.084,-0.12300000000000001,0.016,83,0.016,1.6636834086273655,1.6636834086273655,-2.3728402148779084,14.866279587136308,213.92708173355217,-2.3576917187131494,14.866758945948103,-2.372841354038486,14.866283699809527,48.32065322939506
5415,5535,5536,-0.2572,14.85002778,6.18,-0.026000000000000002,0.015,0.0,-20,0.001,1.6641000627479734,1.6641000627479734,-0.3307499456606217,14.865862936692357,215.1325586892428,-0.31663848528069266,14.866325831463707,-0.3307500781924041,14.865867045688919,46.482511219691354
5416,5536,5537,51.3747,14.82563889,6.51,0.012,0.008,0.0,-5,0.001,1.6941037457759158,1.6941037457759158,51.30308471854777,14.835856814553555,310.6193942659442,51.30098942043404,14.836411886370687,51.303107181444936,14.835863362660977,20.46249747898175
5417,5537,5538,48.7206,14.82813889,5.69,-0.076,0.096,0.009000000000000001,-32,0.009000000000000001,1.6911159796029605,1.6911159796029605,48.64892454096314,14.838844930020793,303.3109429017015,48.647526072487096,14.839366349723203,48.64894611203165,14.838851128833932,19.571575793765273
5420,5540,5541,37.2719,14.84155556,5.48,-0.21100000000000002,0.094,0.026000000000000002,-67,0.026000000000000002,1.6760474883981349,1.6760474883981349,37.19997280653766,14.853914469080106,268.6583559130525,37.20154412947302,14.854343340730825,37.19999004040443,14.853919620038758,19.55788019031399
5423,5543,5544,19.1011,14.85647222,4.55,0.13699999999999998,-0.098,0.156,3,0.156,1.6592743400032042,1.6592743400032042,19.028588003746787,14.870688419575565,231.89357968793334,19.03525843487914,14.871077869257581,19.02859722359801,14.870692768433688,29.999565789187997
5429,5549,5550,15.7044,14.88980556,6.4,-0.022000000000000002,0.009000000000000001,0.021,21,0.021,1.625653586886818,1.625653586886818,15.632328129087803,14.904309235392882,227.17419964496625,15.640049862517227,14.904693844818967,15.632335607753697,14.904313521550074,32.40616094516133
5431,5551,5552,59.2939,14.85733333,5.46,-0.122,0.139,0.0,11,0.001,1.664353422050116,1.664353422050116,59.22311248044877,14.865605656815474,328.82633910155516,59.218830094551436,14.866291763464927,59.22313679198575,14.865613686386776,24.367568294941922
5432,5552,5553,19.1528,14.88991667,6.01,-0.452,0.21600000000000003,0.087,-29,0.087,1.625847711143928,1.625847711143928,19.08089420132061,14.904115029824538,231.22108494713578,19.087512842085655,14.904495956828022,19.080903268698957,14.904119397292964,29.65999651893356
5442,5562,5563,74.1556,14.84508333,2.08,-0.031,0.012,0.039,17,0.039,1.6845367752886578,1.6845367752886578,74.08498800322661,14.845415385800598,348.54425929248816,74.07608862845986,14.846864894642696,74.08501551891938,14.845430333148235,35.65237726556654
5446,5566,5567,14.4464,14.937000000000001,5.77,-0.013000000000000001,0.0,0.0,-22,0.001,1.5783631587775204,1.5783631587775204,14.375132358376941,14.95159966539839,224.81215794573237,14.383220444552988,14.951974222705237,14.375139060352437,14.951603949659372,33.05281819731266
5448,5568,5569,32.3003,14.93297222,6.12,-0.043,0.004,0.0,-12,0.001,1.5841240097369766,1.5841240097369766,32.229774413882254,14.945838195875334,254.00700272348817,32.23258225805283,14.946223600067635,32.229788825496456,14.945843098699916,20.512450922791523
5449,5569,5570,-4.3464,14.95305556,4.49,-0.094,-0.15,0.047,22,0.047,1.5607231580611458,1.5607231580611458,-4.418214823541735,14.969239779532382,210.95193880679292,-4.402140960936301,14.969703214171854,-4.418216840891023,14.969243950375747,49.5553998179705
5452,5572,5573,-0.1675,14.95925,5.53,0.062,-0.026000000000000002,0.034,20,0.034,1.5548796424049929,1.5548796424049929,-0.23901566193574825,14.9750833048655,213.13155825026544,-0.22512449827362888,14.9755114852997,-0.2390157419924595,14.9750874660319,45.699797343222855
5453,5573,5574,21.5553,14.950999999999999,6.49,-0.023,-0.027999999999999997,0.0,-11,0.001,1.5650105575595905,1.5650105575595905,21.484616768950563,14.964952084167729,233.07749512190713,21.49044057983257,14.965317042013904,21.48462656160903,14.964956550877302,27.26736924694206
5454,5574,5575,16.3883,14.95325,5.71,0.005,0.001,0.0,-16,0.001,1.5622890685426878,1.5622890685426878,16.317421424377706,14.967673707771988,226.51177371791601,16.324851107669858,14.968041151082248,16.31742893110999,14.967678039894205,31.31935913368704
5460,5580,5581,49.6286,14.93972222,5.63,0.115,-0.223,0.027000000000000003,-15,0.027000000000000003,1.579852013524956,1.579852013524956,49.55890965261331,14.950108698111363,306.9659519626867,49.55717235012663,14.950604635058664,49.558930150970355,14.950115094911936,18.81125596493699
5462,5582,5583,-4.9892,14.98133333,6.09,-0.35700000000000004,-0.09699999999999999,0.026000000000000002,-29,0.026000000000000002,1.532386709125074,1.532386709125074,-5.060504664340106,14.997576211498677,210.1141840126626,-5.044118002064472,14.998036055600238,-5.060506937816327,14.997580399311818,49.98256713741822
5463,5583,5584,4.5678,14.98975,5.93,0.005,-0.008,0.0,-12,0.001,1.5247777702782663,1.5247777702782663,4.497068687249506,15.005185150368904,215.49863804960773,4.508785640939894,15.005577156310956,4.497070755901857,15.005189338158626,41.23131023561047
5465,5585,5586,-8.5189,15.01622222,4.92,-0.063,-0.005,0.02,-39,0.02,1.4971855306177329,1.4971855306177329,-8.58967960983473,15.032777342929357,207.8180182730204,-8.571200264036019,15.033261610627848,-8.589683394139284,15.03278157781916,53.06261228156128
5467,5587,5588,39.2653,14.99358333,5.64,-0.032,0.042,0.0,12,0.001,1.5244164943272107,1.5244164943272107,39.19616931701992,15.005545226945749,273.39744216248243,39.19708620611489,15.005943173252351,39.19618577201068,15.005550614109682,17.33640996761069
5468,5588,5589,65.9325,14.95972222,4.6,-0.079,0.032,0.01,7,0.01,1.5646600896150336,1.5646600896150336,65.8636916252339,14.965296853917865,340.379025595307,65.85736016684297,14.966137431292308,65.86371596762604,14.965307018821859,28.63370146824073
5469,5589,5590,-2.755,15.02216667,5.52,0.027000000000000003,-0.023,0.0,-15,0.001,1.4917390977112124,1.4917390977112124,-2.825428726452495,15.038223815851453,210.51270142671623,-2.8103333290829693,15.038651166899788,-2.8254299507121283,15.03822801072568,47.68709410534485
5471,5591,5592,22.0456,15.01455556,6.38,0.01,0.006,0.0,-26,0.001,1.501529791838779,1.501529791838779,21.976113257689263,15.028432803352876,232.30108474926146,21.98173068762707,15.028782044131578,21.976122873605874,15.028437316598113,26.31822449600576
5473,5593,5594,-0.1406,15.03025,5.71,0.009000000000000001,-0.024,0.002,-34,0.002,1.4838785539449706,1.4838785539449706,-0.21076356621930753,15.046084361219494,211.78464362163353,-0.19699168860575886,15.046490681848336,-0.21076362903520765,15.046088554491922,45.238899573563266
5475,5595,5596,82.5119,14.839,5.64,0.17600000000000002,-0.222,0.016,-43,0.016,1.708030767569694,1.708030767569694,82.44122200883722,14.821905271490348,355.25483362413956,82.42910147404379,14.825290018126653,82.4412507415666,14.821936340867198,42.855809430689945
5476,5596,5597,47.2778,15.01075,6.37,-0.009000000000000001,0.024,0.0,-14,0.001,1.508492731106914,1.508492731106914,47.20929653061537,15.02146822093938,300.4504772738456,47.20811601933727,15.021917926280233,47.20931544024491,15.021474377329978,17.422956517699415
5478,5598,5599,-3.0314,15.04580556,6.61,-0.039,-0.02,0.0,-22,0.001,1.468074011976384,1.468074011976384,-3.1013844591979174,15.061888890087602,209.92748703271897,-3.0861810993160037,15.062310831761318,-3.1013857848211974,15.061893096460508,47.80575688935868
5479,5599,5600,25.0081,15.03513889,4.81,-0.006999999999999999,-0.051,0.025,14,0.025,1.4812481262577641,1.4812481262577641,24.939126791724355,15.048714356549077,236.5300793975641,24.94386273853828,15.049060194887343,24.93913748193644,15.048718982179128,23.944564762354776
5480,5600,5601,2.0914,15.04833333,4.4,-0.054000000000000006,0.016,0.025,-16,0.025,1.465985509751203,1.465985509751203,2.0216785095133485,15.06397739497154,212.73547467529397,2.0343907110437978,15.064365157443756,2.021679422766622,15.06398159868569,43.09127783712659
5481,5601,5602,40.3906,15.03244444,3.5,-0.040999999999999995,-0.027999999999999997,0.037000000000000005,-20,0.037000000000000005,1.4857472342019484,1.4857472342019484,40.32222417359521,15.044214375519745,276.94685858012366,40.322816600337674,15.044607820676854,40.32224061003362,15.044219874234944,16.714617583724458
5487,5607,5608,60.2044,15.02419444,5.93,-0.017,0.015,0.0,-9,0.001,1.4981122503126763,1.4981122503126763,60.13657897653169,15.031846449705519,332.53989387248,60.13188206433029,15.032483448263491,60.13660116673061,15.031854858124216,24.05299564864194
5488,5608,5609,35.2058,15.05169444,5.51,-0.038,0.012,0.0,-27,0.001,1.4658337300012594,1.4658337300012594,35.137568441409364,15.064128241215153,259.87652800895694,35.13950185569905,15.064492761368593,35.13758287540224,15.064133378435633,17.881296775942857
5489,5609,5610,5.4925,15.06844444,6.5,-0.01,-0.040999999999999995,0.017,-8,0.017,1.4461672629658722,1.4461672629658722,5.423309383967007,15.08379561685625,214.49980041077512,5.434545734994681,15.084161589105479,5.423311748876929,15.08379984547102,39.884327235941285
5491,5611,5612,44.6444,15.05183333,6.65,-0.09300000000000001,0.024,0.0,-20,0.001,1.467017156551874,1.467017156551874,44.57654621747812,15.062944054818887,291.867297027397,44.57601878395042,15.063359641541448,44.57656382560002,15.062949951885019,16.494237166482304
5492,5612,5613,34.5661,15.06013889,6.59,-0.002,-0.016,0.0,-25,0.001,1.4573176231911553,1.4573176231911553,34.49799857831023,15.072644383249749,257.8487248957072,34.50009437733336,15.073004442379592,34.4980127033839,15.072649485245737,18.05055892479165
5495,5615,5616,26.9475,15.07408333,4.54,-0.174,-0.006,0.018000000000000002,-26,0.018000000000000002,1.4425242904477162,1.4425242904477162,26.879339709148642,15.08743809671031,239.1494595605772,26.88349336332476,15.08777656610354,26.87935088037075,15.087442817989176,22.21770845638019
5497,5617,5618,47.6544,15.06316667,4.76,-0.40700000000000003,0.033,0.086,-25,0.086,1.4562086650061374,1.4562086650061374,47.586866621192456,15.073752208518577,302.16961863840254,47.58554561641718,15.074189270595525,47.586885009805506,15.073758443430755,17.01652686161161
5506,5626,5627,48.1511,15.0905,5.57,-0.066,0.031,0.026000000000000002,-13,0.026000000000000002,1.4289998979999883,1.4289998979999883,48.08408796684732,15.100960897962269,304.0810353381516,48.08261554291217,15.101394079067829,48.08410616541604,15.100967210436904,16.911043484597013
5508,5628,5629,65.9197,15.06605556,6.13,0.023,-0.006999999999999999,0.0,-5,0.001,1.4585988366256348,1.4585988366256348,65.85279172208683,15.071357994509796,341.4487301145381,65.84636151735883,15.072141216748957,65.85281447355253,15.071368271811258,28.22888892103461
5509,5629,5630,36.4556,15.10975,6.35,-0.063,0.027999999999999997,0.0,-5,0.001,1.407982610161417,1.407982610161417,36.388501746522124,15.121979248822816,262.89664519794974,36.39006067067637,15.122333420962823,36.38851605589877,15.121984498275475,16.76242528304869
5510,5630,5631,5.4981,15.12786111,6.16,-0.003,-0.017,0.0,3,0.001,1.3867553719908692,1.3867553719908692,5.430061545661901,15.143207482556788,213.24812326740548,5.441226187227361,15.143557164957082,5.430063820180304,15.143211736446023,39.50005322615113
5512,5632,5633,18.4417,15.12233333,6.02,0.043,-0.055,0.015,-6,0.015,1.3934508118607312,1.3934508118607312,18.374095405975165,15.136511837254831,224.88128704820625,18.380709894158123,15.136835232743191,18.3741029474437,15.136516296576161,28.25152843814049
5513,5633,5634,24.8692,15.12169444,4.93,0.185,-0.165,0.064,-7,0.064,1.3947224233647226,1.3947224233647226,24.80185249092827,15.135240023687489,234.16524105232088,24.80655475270677,15.135564490674637,24.801862525644356,15.13524468507217,23.23082058554271
5514,5634,5635,54.5564,15.10463889,5.25,0.048,0.015,0.028999999999999998,16,0.028999999999999998,1.416233328373517,1.416233328373517,54.48986799835559,15.113726510664524,322.2747977045918,54.48667713373958,15.114229072201239,54.489887729863526,15.113733780063376,19.84014611663959
5517,5637,5638,26.3011,15.13994444,5.67,0.005,-0.013999999999999999,0.0,21,0.001,1.3766311178984552,1.3766311178984552,26.23416091597074,15.153331264846846,236.2872194236437,26.238442343013464,15.153652738552129,26.234171355685994,15.153335990538437,22.02911318199095
5518,5638,5639,13.235,15.14816667,6.1,-0.055999999999999994,0.064,0.0,-49,0.001,1.3671418816430396,1.3671418816430396,13.167677318718734,15.162820869388044,218.79790525584946,13.175959149436812,15.163143869988428,13.16768267734062,15.162825226793853,32.473657713766535
5519,5639,5640,25.1086,15.14319444,5.81,-0.008,-0.001,0.0,-16,0.001,1.373258034449833,1.373258034449833,25.041673997260503,15.156704393735293,234.03539024438376,25.046290486979974,15.157023827168022,25.041683971366588,15.15670907398706,22.85652293601101
5526,5647,5648,50.055,15.13875,6.39,-0.004,-0.018000000000000002,0.0,-29,0.001,1.3811787466564969,1.3811787466564969,49.988950414195,15.148781771626524,310.69191121168456,49.986939888193625,15.14921821996659,49.98896853659138,15.148788361780396,17.210681763863963
5532,5653,5654,18.9758,15.20119444,5.89,-0.017,0.005,0.006,-35,0.006,1.3146687539342903,1.3146687539342903,18.909745648815207,15.21529384739964,223.5331722460609,18.91612750846861,15.215597718925826,18.909752975397705,15.215298354502602,27.180659324718423
5537,5658,5659,19.2858,15.21208333,6.68,-0.59,0.29,0.024,-37,0.024,1.3038141501535527,1.3038141501535527,19.21997264791327,15.226148438238194,223.6309032747055,19.226250478039102,15.226449553724496,19.219980029846482,15.22615295828334,26.83733125310393
5543,5664,5665,22.9833,15.22552778,6.3,0.049,0.09300000000000001,0.0,-5,0.001,1.290744568907611,1.290744568907611,22.917882374295427,15.239217900143874,228.37204066632916,22.92304635227684,15.239515961756657,22.91789101563957,15.239222539529282,23.73657009873104
5546,5668,5669,-5.5028,15.24741667,6.28,-0.018000000000000002,0.005,0.0,-27,0.001,1.2662179248910483,1.2662179248910483,-5.568880239647972,15.263744880588796,204.98970716217778,-5.55262957218712,15.264121099871348,-5.568882315350872,15.263749183545844,49.0518261775842
5549,5671,5672,67.7814,15.17891667,6.17,0.001,0.0,0.0,-8,0.001,1.3470190820722703,1.3470190820722703,67.71660757688457,15.182936815570214,344.749759247354,67.70949066882478,15.183728738190114,67.71662893277161,15.182948026364622,29.401984949120727
5550,5672,5673,38.2647,15.22655556,6.2,-0.01,-0.047,0.0,-62,0.001,1.2915167026899521,1.2915167026899521,38.19989187711162,15.238444968558303,267.7229526186386,38.200892726052565,15.238775837653428,38.19990558970921,15.23845040574694,14.896150061372326
5551,5673,5674,31.7881,15.23502778,5.99,0.043,-0.018000000000000002,0.0,4,0.001,1.2822197043266108,1.2822197043266108,31.723211247667454,15.247742376540872,246.36903678501983,31.725915709081395,15.2480501947822,31.723222829935974,15.247747404110282,17.537937340612633
