,UT1_hours,alpha,delta,year,month,days,deltaT,Lambda,Miu,Niu,P,Q,SG_d,deltaT_SI,jd
0,21.57512833,142.935,8.521111111,1965,1,14,0.0,-0.7891439307993768,0.5960674272555554,0.14817381228628504,0.2962719009592112,-0.35108575971978095,78.0321280191342,0.0,-12769.600293449213
1,21.60311055,157.2741667,-2.395,1965,1,14,0.12485689131675878,-0.9215582970478929,0.38598449379160416,-0.04178846365477428,0.5203112385304128,-0.19322344068917247,78.45301051139832,100.735992000007,-12769.599127523381
2,21.63141972,171.81791669999998,-14.50833333,1965,1,14,0.2511726361703623,-0.9582566000732619,0.13778102486286736,-0.25052081271577153,0.7082834440815429,-0.008121613456738522,78.87881067991258,202.64900400000698,-12769.597947974631
3,21.65449139,183.13416669999998,-23.56333333,1965,1,14,0.354118613783502,-0.9152477093203553,-0.0501154444748697,-0.39976252051552885,0.8055542825425013,0.13150697582673163,79.22583325306574,285.70701600000774,-12769.596986655046
4,21.71409417,208.6404167,-40.02027778,1965,1,14,0.6200666988402277,-0.6721154419353875,-0.36706452095992986,-0.6430586832976101,0.8707320811285972,0.37084396398717734,80.12232275803883,500.2770240000032,-12769.594503205879
5,21.74287556,219.1020833,-44.99861111,1965,1,14,0.748489493142299,-0.5487447629378402,-0.44598590319844417,-0.7070896402130082,0.8554948731777292,0.43441742756040835,80.55522562066714,603.8900280000121,-12769.593303981297
