,Alpha,Alpha_d,Delta,Delta_d,deltaT,vx,vy,vz,x,y,z
0,2.4983733857779384,143.14625065288573,0.15188629788064456,8.702443834427754,0.0,-6961152.21727784,-255108.68479871703,3707491.776197443,-6961152.21727784,-255108.68479871703,3707491.776197443
1,2.7527039902862973,157.7183208922256,-0.036781904500805235,-2.107447890349387,100.735992000007,-7115216.022237411,-803827.1417545853,3285322.1238185153,-7115216.022237411,-803827.1417545853,3285322.1238185153
2,3.019046859853514,172.97864322183048,-0.252185812793621,-14.449182726150765,202.64900400000698,-7211310.505690591,-1352183.3601415814,2830642.02745939,-7211310.505690591,-1352183.3601415814,2830642.02745939
3,3.2306374752042175,185.1018924660018,-0.4146703124575316,-23.758858793187684,285.70701600000774,-7244362.538617054,-1790803.5437183925,2442126.6588298427,-7244362.538617054,-1790803.5437183925,2442126.6588298427
4,3.7107861635153068,212.61238584496965,-0.7011279535636946,-40.17167263784407,500.2770240000033,-7139355.281915615,-2870854.7066002386,1379837.5605268625,-7139355.281915615,-2870854.7066002386,1379837.5605268625
5,3.904894588149273,223.73397934442914,-0.7824282786051442,-44.82983813576089,603.8900280000121,-6990509.433902617,-3355574.564084544,845452.6829459225,-6990509.433902617,-3355574.564084544,845452.6829459225
