,Number,lambda,Rcos_fai,Rsin_fai,month,day,alpha,delta,SG,SG_d,jd,X,Y,Z,Lambda,Miu,Niu,P,Q
17,46,14.29,0.659,0.748,12,4.03745,10.95556444,19.683332999999998,-34024103.9960831,72.90001632040367,-393.499192112269,0.31046293882183523,0.8583126269292998,0.37214932691427854,0.9244083540520222,0.17894288369078823,0.33682137600701084,-0.23944739250124514,0.22250456632489202
18,713,254.9897,0.76865,0.63793,12,4.4528,10.97548056,19.732056,-34024041.52300449,73.16032081463685,-393.4984710185188,0.3104773981941584,0.8582708624154658,0.37214617440165876,0.924064577142172,0.17920960198103636,0.3376219421614321,-0.23906311510800576,0.2230789076759902
19,713,254.9897,0.76865,0.63793,12,4.46571,10.97609167,19.733333,-34024039.581202455,73.16841165643805,-393.4984486053236,0.31047702855182746,0.8582709764023216,0.3721462221148354,0.9240552782175055,0.179218025159453,0.3376429212293872,-0.23905330991905896,0.22309380868090636
20,713,254.9897,0.76865,0.63793,12,4.47843,10.97667222,19.734694,-34024037.66797853,73.17638342278077,-393.4984265219903,0.31047666434904964,0.8582710887118048,0.37214626912574594,0.9240455883683634,0.17922586094937862,0.33766528009838254,-0.23904292838195784,0.2231101120870543
21,713,254.9897,0.76865,0.63793,12,4.49293,10.97736944,19.736,-34024035.48702363,73.18547073487814,-393.4984013483798,0.31047624918008265,0.8582712167378004,0.3721463227151581,0.9240358511879517,0.17923563977789786,0.3376867352336559,-0.2390328331233541,0.2231249208823619
22,704,253.34,0.833,0.544,11,25.456039999999998,10.55532778,18.970833,-34803770.033984296,64.29152506543323,-402.49846539351813,0.4554457580197658,0.8035847204024413,0.34843189443635764,0.9296817664292897,0.17323508436372126,0.3250867864346534,-0.17587138122995633,0.20087414575592544
23,704,253.34,0.833,0.544,11,25.46656,10.555775,18.972027999999998,-34803768.45166393,64.29811806694293,-402.4984471296298,0.4554454767828605,0.8035848552529703,0.3484319516040895,0.9296737485280085,0.17324109882757863,0.32510651020072545,-0.17585974901112228,0.20088793377891814
24,704,253.34,0.833,0.544,11,25.47715,10.55628889,18.972306,-34803766.85881474,64.30475493858879,-402.4984287442129,0.4554451936741942,0.8035849910010364,0.3484320091521817,0.9296706439431616,0.17324914814391953,0.3251110986381629,-0.1758567230340302,0.20088885050179534
25,704,253.34,0.833,0.544,11,25.48772,10.55672778,18.973194,-34803765.26897378,64.3113792759056,-402.49841039351844,0.4554449110998066,0.8035851264929664,0.34843206659155296,0.929664363246346,0.17325534632278725,0.3251257551784185,-0.1758480046589522,0.20089850273388674
26,327,117.575,0.76278,0.6447,12,1.8740299999999999,10.85284167,19.483333,-34283887.83161446,70.46736827309554,-396.4977397164344,0.3597580573575123,0.8423774840845235,0.36525014104798775,0.9258767493012461,0.17750556498997538,0.33353263633555735,-0.2181855599619228,0.21612645040703388
27,327,117.575,0.76278,0.6447,12,1.88457,10.85333333,19.484528,-34283886.24628585,70.47397380896534,-396.4977214178236,0.35975775972757634,0.8423775845691382,0.36525018622643896,0.9258683939233224,0.1775122001160576,0.33355229866364927,-0.21817557558244954,0.21614061552591374
28,327,117.575,0.76278,0.6447,12,1.89575,10.85384167,19.483333,-34283884.56469445,70.48098043979456,-396.49770200810224,0.35975744402567034,0.8423776911552536,0.36525023414813124,0.9258736511036775,0.17752172456068188,0.33353263633555735,-0.21818471910997983,0.21612060065910252
29,327,117.575,0.76278,0.6447,12,2.80773,10.89707778,19.570417000000003,-34197261.24847519,71.41146468672281,-395.4978548206017,0.34341226025647614,0.8479405308608581,0.3676624968757599,0.9252405621214971,0.17812430983506003,0.3349651212453016,-0.22514512588638766,0.2185408742203831
