,Alpha,Delta,deltaT,vx,vy,vz,x,y,z
14,-0.9800691387061798,5.1165280526349886,1400.0,-3331515.798764591,-5881418.489566628,-3572975.735746487,-3331515.798764591,-5881418.489566628,-3572975.735746487
15,-0.9752150799572845,5.226443207280386,1500.0,-2719576.6423768895,-5927429.459336104,-3962434.3111383384,-2719576.6423768895,-5927429.459336104,-3962434.3111383384
16,-0.9666763790288594,5.331818774158185,1600.0,-2083304.152651391,-5920393.412125872,-4316428.430406762,-2083304.152651391,-5920393.412125872,-4316428.430406762
17,-0.9547232362436626,5.432396493046636,1700.0,-1428291.8917330257,-5860088.179399416,-4631582.375022818,-1428291.8917330257,-5860088.179399416,-4631582.375022818
18,-0.9396309770891037,5.527998898716784,1800.0,-760369.6204096153,-5746796.328514814,-4904855.22033097,-760369.6204096153,-5746796.328514814,-4904855.22033097
19,-0.9216767916720883,5.618552667899789,1900.0,-85545.77470719628,-5581311.8943322655,-5133579.679713605,-85545.77470719628,-5581311.8943322655,-5133579.679713605
20,-0.9011342931243908,5.704091115551488,2000.0,590054.3336672317,-5364940.649015896,-5315497.372163916,590054.3336672317,-5364940.649015896,-5315497.372163916
21,-0.8782679435192334,5.784742682558766,2100.0,1260253.7070623366,-5099493.570569309,-5448789.696076909,1260253.7070623366,-5099493.570569309,-5448789.696076909
22,-0.853328465925656,5.860712000934747,2200.0,1918891.2093240737,-4787273.324929539,-5532103.55230559,1918891.2093240737,-4787273.324929539,-5532103.55230559
23,-0.826549677706006,5.93225873696743,2300.0,2559890.3192974036,-4431053.748405259,-5564571.251664666,2559890.3192974036,-4431053.748405259,-5564571.251664666
24,-0.7981467410781358,5.999677660999204,2400.0,3177327.971359271,-4034052.419322389,-5545824.055320139,3177327.971359271,-4034052.419322389,-5545824.055320139
25,-0.7683156527005698,6.063281678165772,2500.0,3765501.281346079,-3599897.3199578635,-5475999.030034379,3765501.281346079,-3599897.3199578635,-5475999.030034379
26,-0.737233512519159,6.123388812793942,2600.0,4318994.069834101,-3132585.849576826,-5355738.686855015,4318994.069834101,-3132585.849576826,-5355738.686855015
27,-0.705059592559596,6.1803123694857485,2700.0,4832735.6570615135,-2636441.4477557587,-5186184.021970101,4832735.6570615135,-2636441.4477557587,-5186184.021970101
28,-0.671936566009207,6.234354636162884,2800.0,5302058.563644703,-2116062.9395277593,-4968960.180028472,5302058.563644703,-2116062.9395277593,-4968960.180028472
29,-0.6379920257554347,0.0026175466945663035,2900.0,5722747.980608098,-1576272.1480449853,-4706155.845211643,5722747.980608098,-1576272.1480449853,-4706155.845211643
30,-0.6033400062447066,0.05174187074294919,3000.0,6091085.202040954,-1022058.4892792772,-4400296.409317768,6091085.202040954,-1022058.4892792772,-4400296.409317768
31,-0.5680824712742746,0.09879470607067035,3100.0,6403883.527472054,-458522.2707479964,-4054311.6697450075,6403883.527472054,-458522.2707479964,-4054311.6697450075
32,-0.5323107149072932,0.14401100530064906,3200.0,6658516.309264937,109182.33001911873,-3671498.7793109873,6658516.309264937,109182.33001911873,-3671498.7793109873
33,-0.49610665311848007,0.1876092067941011,3300.0,6852936.930467444,675903.5864706067,-3255481.274108434,6852936.930467444,675903.5864706067,-3255481.274108434
34,-0.4595440003753627,0.22979257747588513,3400.0,6985690.709341485,1236546.8937485,-2810165.059052159,6985690.709341485,1236546.8937485,-2810165.059052159
35,-0.4226893358904893,0.2707507961314342,3500.0,7055918.923846473,1786126.9381791607,-2339692.2507067835,7055918.923846473,1786126.9381791607,-2339692.2507067835
36,-0.3856030705959304,0.3106616679914299,3600.0,7063355.324930886,2319816.6345810005,-1848393.7650662954,7063355.324930886,2319816.6345810005,-1848393.7650662954
37,-0.34834032945997034,0.3496929030555665,3700.0,7008315.655746797,2832992.234520345,-1340741.497466371,7008315.655746797,2832992.234520345,-1340741.497466371
38,-0.31095176569367755,0.38800392162119607,3800.0,6891680.811052941,3321274.149668524,-821300.8772570136,6891680.811052941,3321274.149668524,-821300.8772570136
39,-0.2734843259056855,0.42574767221199916,3900.0,6714874.363133219,3780563.1589903478,-294684.51636164775,6714874.363133219,3780563.1589903478,-294684.51636164775
