UT1_hours,alpha,delta,year,month,days
21.57512833,142.935,8.521111111,1965,1,14
21.60311055,157.2741667,-2.395,1965,1,14
21.63141972,171.8179167,-14.50833333,1965,1,14
21.65449139,183.1341667,-23.56333333,1965,1,14
21.71409417,208.6404167,-40.02027778,1965,1,14
21.74287556,219.1020833,-44.99861111,1965,1,14
