UT1,afa,deta
21.575128333,142.935000000,8.521111111
21.603110555,157.274166667,-2.395000000
21.631419722,171.817916667,-14.508333333
21.654491388,183.134166667,-23.563333330
21.714094166,208.640416667,-40.020277777
21.742875555,219.102083333,-44.998611111
